,time,tx_count
1705,2013-09-09 00:00:00+00:00,57676
1706,2013-09-10 00:00:00+00:00,53283
1707,2013-09-11 00:00:00+00:00,49210
1708,2013-09-12 00:00:00+00:00,52300
1709,2013-09-13 00:00:00+00:00,44834
1710,2013-09-14 00:00:00+00:00,43560
1711,2013-09-15 00:00:00+00:00,53672
1712,2013-09-16 00:00:00+00:00,51885
1713,2013-09-17 00:00:00+00:00,67931
1714,2013-09-18 00:00:00+00:00,60551
1715,2013-09-19 00:00:00+00:00,59815
1716,2013-09-20 00:00:00+00:00,58994
1717,2013-09-21 00:00:00+00:00,52498
1718,2013-09-22 00:00:00+00:00,50903
1719,2013-09-23 00:00:00+00:00,65328
1720,2013-09-24 00:00:00+00:00,62592
1721,2013-09-25 00:00:00+00:00,54548
1722,2013-09-26 00:00:00+00:00,57545
1723,2013-09-27 00:00:00+00:00,46920
1724,2013-09-28 00:00:00+00:00,42580
1725,2013-09-29 00:00:00+00:00,41181
1726,2013-09-30 00:00:00+00:00,47156
1727,2013-10-01 00:00:00+00:00,57171
1728,2013-10-02 00:00:00+00:00,61964
1729,2013-10-03 00:00:00+00:00,59551
1730,2013-10-04 00:00:00+00:00,51940
1731,2013-10-05 00:00:00+00:00,45479
1732,2013-10-06 00:00:00+00:00,42857
1733,2013-10-07 00:00:00+00:00,44547
1734,2013-10-08 00:00:00+00:00,45131
1735,2013-10-09 00:00:00+00:00,50673
1736,2013-10-10 00:00:00+00:00,56853
1737,2013-10-11 00:00:00+00:00,51922
1738,2013-10-12 00:00:00+00:00,49474
1739,2013-10-13 00:00:00+00:00,51304
1740,2013-10-14 00:00:00+00:00,57452
1741,2013-10-15 00:00:00+00:00,55826
1742,2013-10-16 00:00:00+00:00,50826
1743,2013-10-17 00:00:00+00:00,46870
1744,2013-10-18 00:00:00+00:00,59661
1745,2013-10-19 00:00:00+00:00,55311
1746,2013-10-20 00:00:00+00:00,49418
1747,2013-10-21 00:00:00+00:00,60451
1748,2013-10-22 00:00:00+00:00,65048
1749,2013-10-23 00:00:00+00:00,55314
1750,2013-10-24 00:00:00+00:00,63634
1751,2013-10-25 00:00:00+00:00,57471
1752,2013-10-26 00:00:00+00:00,47747
1753,2013-10-27 00:00:00+00:00,43691
1754,2013-10-28 00:00:00+00:00,51104
1755,2013-10-29 00:00:00+00:00,49930
1756,2013-10-30 00:00:00+00:00,48446
1757,2013-10-31 00:00:00+00:00,58181
1758,2013-11-01 00:00:00+00:00,45371
1759,2013-11-02 00:00:00+00:00,39181
1760,2013-11-03 00:00:00+00:00,35947
1761,2013-11-04 00:00:00+00:00,45523
1762,2013-11-05 00:00:00+00:00,51597
1763,2013-11-06 00:00:00+00:00,55008
1764,2013-11-07 00:00:00+00:00,60535
1765,2013-11-08 00:00:00+00:00,59223
1766,2013-11-09 00:00:00+00:00,55204
1767,2013-11-10 00:00:00+00:00,57538
1768,2013-11-11 00:00:00+00:00,57405
1769,2013-11-12 00:00:00+00:00,58307
1770,2013-11-13 00:00:00+00:00,64870
1771,2013-11-14 00:00:00+00:00,69413
1772,2013-11-15 00:00:00+00:00,60914
1773,2013-11-16 00:00:00+00:00,47175
1774,2013-11-17 00:00:00+00:00,51323
1775,2013-11-18 00:00:00+00:00,79032
1776,2013-11-19 00:00:00+00:00,92907
1777,2013-11-20 00:00:00+00:00,77558
1778,2013-11-21 00:00:00+00:00,71822
1779,2013-11-22 00:00:00+00:00,76947
1780,2013-11-23 00:00:00+00:00,72545
1781,2013-11-24 00:00:00+00:00,60861
1782,2013-11-25 00:00:00+00:00,71793
1783,2013-11-26 00:00:00+00:00,83383
1784,2013-11-27 00:00:00+00:00,95531
1785,2013-11-28 00:00:00+00:00,98921
1786,2013-11-29 00:00:00+00:00,90084
1787,2013-11-30 00:00:00+00:00,75190
1788,2013-12-01 00:00:00+00:00,72142
1789,2013-12-02 00:00:00+00:00,75570
1790,2013-12-03 00:00:00+00:00,77667
1791,2013-12-04 00:00:00+00:00,79624
1792,2013-12-05 00:00:00+00:00,83283
1793,2013-12-06 00:00:00+00:00,72099
1794,2013-12-07 00:00:00+00:00,67712
1795,2013-12-08 00:00:00+00:00,47477
1796,2013-12-09 00:00:00+00:00,63625
1797,2013-12-10 00:00:00+00:00,67623
1798,2013-12-11 00:00:00+00:00,67305
1799,2013-12-12 00:00:00+00:00,58219
1800,2013-12-13 00:00:00+00:00,60115
1801,2013-12-14 00:00:00+00:00,54057
1802,2013-12-15 00:00:00+00:00,52308
1803,2013-12-16 00:00:00+00:00,69382
1804,2013-12-17 00:00:00+00:00,67740
1805,2013-12-18 00:00:00+00:00,81510
1806,2013-12-19 00:00:00+00:00,70278
